sku_id,segment,revenue_annual,demand_volatility_cv,current_safety_stock_weeks,recommended_safety_stock_weeks,avg_weekly_demand,unit_cost,current_safety_stock_units,current_safety_stock_value,recommended_safety_stock_units,recommended_safety_stock_value,stockout_rate
SKU_0001,High Revenue + High Volatility,106217.81,0.7166,2.0,3.5,163,50.15442197684501,326.0,16350.34,570.0,28588.02,0.117
SKU_0002,High Revenue + High Volatility,146550.0,0.7158,2.0,3.5,98,73.84074249151348,196.0,14472.79,343.0,25327.37,0.0666
SKU_0003,High Revenue + High Volatility,131239.58,0.4365,2.0,3.5,130,120.28091251528765,260.0,31273.04,455.0,54727.82,0.0877
SKU_0004,High Revenue + High Volatility,121906.09,0.5978,2.0,3.5,133,191.6455452436745,266.0,50977.72,466.0,89306.82,0.1163
SKU_0005,High Revenue + High Volatility,90921.3,0.423,2.0,3.5,154,65.32904295405785,308.0,20121.35,539.0,35212.35,0.074
SKU_0006,High Revenue + High Volatility,90919.62,0.6198,2.0,3.5,197,178.1314661692349,394.0,70183.8,690.0,122910.71,0.0621
SKU_0007,High Revenue + High Volatility,84065.85,0.5766,2.0,3.5,167,129.0536144317793,334.0,43103.91,584.0,75367.31,0.1076
SKU_0008,High Revenue + High Volatility,140632.33,0.7551,2.0,3.5,135,173.8881148699845,270.0,46949.79,472.0,82075.19,0.0958
SKU_0009,High Revenue + High Volatility,122078.05,0.5404,2.0,3.5,112,94.7561646484989,224.0,21225.38,392.0,37144.42,0.0908
SKU_0010,High Revenue + High Volatility,129565.08,0.4468,2.0,3.5,153,175.99207470087077,306.0,53853.57,536.0,94331.75,0.0621
SKU_0011,High Revenue + High Volatility,81440.91,0.4572,2.0,3.5,98,165.9234170025207,196.0,32520.99,343.0,56911.73,0.0992
SKU_0012,High Revenue + High Volatility,147893.69,0.7046,2.0,3.5,120,84.50805245471508,240.0,20281.93,420.0,35493.38,0.0703
SKU_0013,High Revenue + High Volatility,138270.98,0.6473,2.0,3.5,50,69.7002689614067,100.0,6970.03,175.0,12197.55,0.1159
SKU_0014,High Revenue + High Volatility,94863.74,0.4404,2.0,3.5,190,180.20814837984392,380.0,68479.1,665.0,119838.42,0.1011
SKU_0015,High Revenue + High Volatility,92727.75,0.4336,2.0,3.5,172,194.4854980160198,344.0,66903.01,602.0,117080.27,0.1024
SKU_0016,High Revenue + High Volatility,92838.32,0.6804,2.0,3.5,111,54.69534706212744,222.0,12142.37,388.0,21221.79,0.074
SKU_0017,High Revenue + High Volatility,101296.96,0.4291,2.0,3.5,81,159.69051004605285,162.0,25869.86,284.0,45352.1,0.1128
SKU_0018,High Revenue + High Volatility,116732.95,0.7287,2.0,3.5,78,186.42867664217275,156.0,29082.87,273.0,50895.03,0.0923
SKU_0019,High Revenue + High Volatility,110236.15,0.6825,2.0,3.5,98,178.6040138138748,196.0,35006.39,343.0,61261.18,0.1114
SKU_0020,High Revenue + High Volatility,100386.04,0.4325,2.0,3.5,79,194.6780708405313,158.0,30759.14,276.0,53731.15,0.0763
SKU_0021,High Revenue + High Volatility,122829.7,0.4339,2.0,3.5,193,164.01411176571457,386.0,63309.45,676.0,110873.54,0.1053
SKU_0022,High Revenue + High Volatility,89764.57,0.7947,2.0,3.5,68,116.34481435713654,136.0,15822.89,238.0,27690.07,0.0945
